id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
260,The Verge Shopping Mall,3,11,"2 Serangoon Road The Verge | Intersection of Serangoon Road and Sungei Road, Singapore 218227, Singapore",150,33,"(1.3051047, 103.8513917)",Reviews Summary not available.,"(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)",Singapore,"The Verge is the first modern shopping mall in the Little India precinct in Singapore. With the completion of two new Downtown Line MRT stations, Rochor and Jalan Besar, getting to the Verge will be even more convenient! Shoppers will have easy access to the many new tenants at The Verge Shopping Mall such as Sheng Siong supermarket, cafes, florists, travel agencies, beauty salons and music stores!","Shopping Malls, Shopping"
261,Neil Road,4,8,"Singapore 088826, Singapore",90,32,"(1.27975, 103.8427899)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
262,Keppel Club,4,8,"10 Bukit Chermin Road Keppel Club, Singapore 109918, Singapore",90,32,"(1.2690318, 103.8068749)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Keppel Country Club evolved from a 3-hole course on a nutmeg plantation in 1904 to its 21st century incarnation of a sprawling 18-hole course skirted by a scenic background of lush natural vegetation, home to native flora and fauna.","Marinas, Nature & Parks"
263,Esplanade Xchange,4,8,"90 Bras Basah Road Esplanade Mrt Station, Singapore 189562, Singapore",90,32,"(1.293436, 103.855381)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
264,ZhongShan Park,3.5,9,"Balestier Road, Singapore, Singapore",60,31.5,"(1.3233048, 103.8521903)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Gardens, Nature & Parks"
265,Urban Ski Singapore,3.5,8,"9 Raffles Boulevard Millenia Walk | Millenia Walk, #01-46 to 49, Singapore 039596, Singapore",90,28,"(1.2928037, 103.8596699)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Singapore's Only Indoor Ski & Snowboard Center - Small group & personalised coaching - Instructor and equipments included - Dress comfortably - Suitable for all levels - Ski/snowboard for fun or train for technical perfection,"Ski & Snowboard Areas, Outdoor Activities, Nature & Parks"
266,Deck Art Galery,3.5,8,"116 Prinsep Street, Singapore 188665, Singapore",90,28,"(1.3017889, 103.8515543)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
267,Compass One,3.5,8,"1 Sengkang Square, Singapore 545078, Singapore",90,28,"(1.3920108, 103.8951026)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
268,Kim Seng Park,3.5,8,"Kim Seng Road, Singapore, Singapore",90,28,"(1.2926587, 103.8332965)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
269,West Mall,4,7,"1 Bukit Batok Central Link, Singapore 658713, Singapore",90,28,"(1.3500715, 103.7493232)",Reviews Summary not available.,"(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)","(660, 1320)",Singapore,Information not available.,"Shopping Malls, Shopping"
270,Everton Road Street Art,4.5,6,"Everton Road, Singapore, Singapore",240,27,"(1.2756464, 103.8386912)",Reviews Summary not available.,"(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
271,Loyang Tua Pek Kong Temple,4.5,6,"20 Loyang Way, Singapore 508774, Singapore",90,27,"(1.371257, 103.969602)",Reviews Summary not available.,"(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
272,Church of True Light,3,9,"25G Perak Road, Singapore 208142, Singapore",90,27,"(1.305354, 103.8538656)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,The Church of True Light is a full-fledged Anglican Church in 1963; a quiet place of contemplation set amid the hustle and bustle of teeming Little India.,"Sacred & Religious Sites, Sights & Landmarks"
273,Beauty World Centre,2.5,10,"144, Upper Bukit Timah Road., Singapore 588177, Singapore",90,25,"(1.3424247, 103.7764616)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
274,Delfi Orchard,3.5,7,"402 Orchard Road Delfi Orchard, Singapore 238876, Singapore",150,24.5,"(1.307238, 103.828526)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Celebrate life's occasions at Delfi Orchard Conveniently located along Singapore premiere shopping belt, Delfi Orchard offers an array of distinctive boutiques and tailored services for all the special moments in your life. With around 60,000 sq ft of retail space, every turn and corner brings you one-of-a-kind experiences that will delight you every time. From adding a dash of style to your stunning outfit to creating an exquisite piece of jewellery for your wedding to picking up a unique gift for a party, you can expect all these and more at Delfi Orchard. After a day of retail therapy, regain your sparkle and pamper yourself from head-to-toe at the many relaxing spas and salons. Drop in at Delfi Orchard, where all the little luxuries define life's significant moments.","Shopping Malls, Shopping"
275,Rail Mall,3.5,7,"434 Upper Bukit Timah Road, Singapore 678060, Singapore",90,24.5,"(1.359152, 103.767551)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
276,NUS Museum,3.5,7,"University Cultural Centre National University of Singapore 50 Kent Ridge Crescent, Singapore 119279, Singapore",90,24.5,"(1.3015111, 103.7718806)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The NUS Art Museum aims to create an enriching experience of the social history and the art of Asia to NUS and the nation through strategic acquisitions, exhibitions and research of an extensive range of artworks.","Speciality Museums, Museums"
277,Springleaf Nature Park,4,6,"Nee Soon Road, Upper Thomson Road, Singapore, Singapore",90,24,"(1.3975484, 103.8185958)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
278,Bukit Batok Memorial Site,3,8,"Lorong Sesuai, Singapore, Singapore",90,24,"(1.3520789, 103.766451)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Sites, Sights & Landmarks"
279,Sri SivaKrishna Temple,4,6,"31 Marsiling Rise, Singapore 739127, Singapore",90,24,"(1.4401874, 103.7796247)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
280,Telak Blangah Hill Park,4,6,"Henderson Road, Singapore, Singapore",90,24,"(1.280779, 103.8178862)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Forests, Gardens, Nature & Parks"
281,Singapore Night Festival,4,6,"Bras Basah Bugis, Singapore 39805, Singapore",90,24,"(1.300502, 103.8549239)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Staying in Singapore over the last two weekends of August? You'll be in for a visual treat at the Singapore Night Festival. What's there to do in darkness? Plenty, as an extravaganza of performances and artworks that make use of light are dispersed in Singapore's premier art precinct, Bra Basah-Bugis. Most museums in the neighbourhood are also open for free until late at night, hosting local and overseas talents. Do not miss the display show that is screened on the facade of the National Museum – it's usually playful and thought-provoking, plus the fact that it's projected onto an iconic national monument is incredibly impressive!","Cultural Events, Events"
282,Sisters' Islands,4,6,"Sisters' Island, Singapore 000703, Singapore",90,24,"(1.2146211, 103.8350308)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Swimmers and snorkelers can also indulge themselves here at Sisters’ Islands as the fantastic reefs are filled with marine life. Camping is also another favourite past-time here, but do remember to get a permit before going on your way.",Features Animals
283,Sengkang Riverside Park,4,6,"Anchorvale Street, Singapore, Singapore",150,24,"(1.3971104, 103.8889953)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
284,Kult Studio & Gallery,4.5,5,"11 Upper Wilkie Road | Blk C2-5 Emily Hill, Singapore 228120, Singapore",90,22.5,"(1.3030774, 103.8485349)",Reviews Summary not available.,"(0, 0)","(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)","(840, 1140)",Singapore,"Kult is a multi-disciplinary art studio, art gallery and publisher that seeks to uncover cutting edge local and international artists and provides them with global platforms to showcase their work. Kult is also a publisher of a theme-based magazine of the same name and presents groundbreaking gallery shows yearly.",Other
285,Tampines Changkat Butterfly Garden,4.5,5,"124 Tampines Street 11 Tampines Court 11, Singapore 521124, Singapore",90,22.5,"(1.3455857, 103.9494318)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
286,Hindhede Quarry,4.5,5,"Hindhede Dr | Hindhede Nature Park, Singapore, Singapore",90,22.5,"(1.3489085, 103.775735)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
287,Chestnut Nature Park,4.5,5,"Chestnut Ave, Singapore, Singapore",150,22.5,"(1.3708296, 103.7770006)",Reviews Summary not available.,"(420, 1140)","(420, 1140)","(420, 1140)","(420, 1140)","(420, 1140)","(420, 1140)","(420, 1140)",Singapore,Information not available.,Nature & Parks
288,Singapore Repertory Theatre,4.5,5,"DBS Arts Centre - Home of the SRT 20 Merbau Road, Singapore 239035, Singapore",90,22.5,"(1.291463, 103.8417745)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The Singapore Repertory Theatre continues to establish ties with some of the best theatre practitioners in the world, adding a new dimension to the local arts industry and elevating it to the world stage.","Theatres, Concerts & Shows"
289,Tiong Bahru Plaza,3.5,6,"302 Tiong Bahru Road, Singapore 168732, Singapore",90,21,"(1.2864777, 103.8271852)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
290,Standard Chartered Marathon Singapore,3,7,"Marina Bay Blvd | Marina Bay, Singapore, Singapore",90,21,"(1.2809251, 103.8526944)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"One of the longest running marathons in Singapore, this annual race kicks off on the first Sunday of December and is considered a must-try for any long distance enthusiast. There are various routes of different lengths around the downtown area - the 42.19km full marathon route takes you through some of Singapore's most popular central areas like Orchard Road, Clarke Quay and Marina Bay, as well as Eastwards through the beautiful stretch of East Coast Park.","Sporting Events, Events"
291,The Cathay Gallery,3.5,6,"2 Handy Road The Cathay, Singapore 229233, Singapore",60,21,"(1.2993784, 103.8478027)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Art Galleries, Museums, Shopping"
292,Orchard Road Presbyterian Church,3.5,6,"3 Orchard Rd, Singapore, Singapore",60,21,"(1.2978023, 103.8474414)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Missions, Sights & Landmarks, More"
293,Cheong Ann Watch Maker,5,4,"No 4 Lim Tua Tow Road Teck Chye Gardens | Serangoon, Singapore 547714, Singapore",90,20,"(1.3538519, 103.8769226)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Antique Stores, Shopping"
294,Sun Plaza,4,5,"30 Sembawang Drive, Singapore 757713, Singapore",90,20,"(1.4482678, 103.8196887)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
295,Stranger Soccer,5,4,"3 Pemimpin Drive | #06-04 Lip Hing Industrial Building, Singapore 576147, Singapore",90,20,"(1.3521692, 103.84228)",Reviews Summary not available.,"(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)","(0, 1439)",Singapore,"Enjoy a game of football with the locals! Simply visit our website, strangersoccer.com, to book your slot now!","Sports Complexes, Arenas & Stadiums, Sights & Landmarks, Fun & Games"
296,Istana Woodneuk,4,5,"766 Tyersall Avenue | Holland Road and Tyersall Road, Singapore 257699, Singapore",90,20,"(1.3087106, 103.8122543)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Walking Areas, Points of Interest & Landmarks, Sights & Landmarks"
297,Fort Canning,4,5,"River Valley Rd, Singapore 179037, Singapore",240,20,"(1.2955406, 103.8374818)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
298,Hillion Mall,4,5,"17 Petir Rd, Singapore 678278 | Hillion Mall, Singapore 678278, Singapore",90,20,"(1.378446, 103.7634273)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
299,Redsea Gallery,5,4,"Dempsey Road | Block 9, #01-10 Dempsey Hill, Singapore 247697, Singapore",60,20,"(1.3035347, 103.8099806)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Art Galleries, Shopping, Museums"
300,Sree Maha Mariamman Temple,4.5,4,"251 Yishun Avenue 3, Singapore 769061, Singapore",60,18,"(1.4232277, 103.8312431)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
301,Ng Kim Lee Confectionary,4.5,4,"4 Chun Tin Road, Singapore 599591, Singapore",60,18,"(1.3418482, 103.7753898)",Reviews Summary not available.,"(540, 780)","(540, 1260)","(540, 1260)","(540, 1260)","(540, 1260)","(540, 1260)","(540, 1260)",Singapore,Information not available.,"Other Food & Drink, Food & Drink"
302,Pulau Semakau,4.5,4,"15 Pulau Sakra, Singapore 628227, Singapore",90,18,"(1.262933, 103.702657)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Pulau Semakau was opened to the public in 2005, and attracts visitors for its spectacular sports fishing, bird-watching, clean air, cycling, pristine water, star-gazing and island walks.",Features Animals
303,Vintage Camera Museum,4.5,4,"8C & 8D Jalan Kledek, Singapore 199263, Singapore",90,18,"(1.3035589, 103.8590931)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Singapore's First Camera Museum, Asias Biggest camera museum, biggest camera shaped building, walk through the lens to get into the museum. - 1000 Cameras. - Box, Bellows, Twin Lens, SLR, Polaroid, Panoromic, Toy, spy and special cameras at one place - free click art museum entry ( trickart) - 3 Documentaries history of cameras, piegeon photography(worlds first drone) and spy cameras","Speciality Museums, Museums"
304,Bedok Jetty,3,6,"East Coast Park Service Road, Singapore, Singapore",150,18,"(1.3073011, 103.9296226)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Piers & Boardwalks, Sights & Landmarks"
305,Punggol Container Park,3.5,5,"Punggol East, Tebing Lane, Singapore 828826, Singapore",90,17.5,"(1.3935645, 103.9176852)",Reviews Summary not available.,"(720, 1439)","(720, 1439)","(720, 1439)","(720, 1439)","(720, 1439)","(720, 1439)","(720, 1439)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
306,Police Heritage Centre,3.5,5,"28 Irrawaddy Road New Phoenix Park, Singapore 329560, Singapore",90,17.5,"(1.324142, 103.845271)",Reviews Summary not available.,"(0, 0)","(0, 0)","(600, 1050)","(600, 1050)","(600, 1050)","(600, 1050)","(600, 780)",Singapore,Information not available.,"History Museums, Museums"
307,Lotto Carpets Gallery,4,4,"Blk 26 #01-04, Dempsey Road, Singapore 249686, Singapore",90,16,"(1.3058106, 103.8113672)",Reviews Summary not available.,"(600, 1200)","(600, 1200)","(600, 1200)","(600, 1200)","(600, 1200)","(600, 1200)","(600, 1200)",Singapore,Information not available.,"Art Galleries, Museums, Shopping"
308,The Art Connector,4,4,"Coleman Street, Singapore, Singapore",60,16,"(1.2916872, 103.8510839)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Monuments & Statues, Scenic Walking Areas, Sights & Landmarks, More"
309,The Heeren,4,4,"26 Orchard Rd, Singapore 238855, Singapore",90,16,"(1.298902, 103.846455)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"""The Heeren, which means gentleman in Dutch, is aimed at the young and the fashionable. Situated in the heart of Orchard Road, Singapore’s main shopping belt, the mall boasts numerous youth-centric brands such as Levi’s, Venue Lab, Koi Nobori, Converse and Fossil. The fourth and fifth levels also boast vintage and quaint fashion shops. With a number of gourmet Japanese, Korean and American restaurants, you will be able to satiate your taste buds after a long day of shopping. The atmosphere is here is highly energetic, with popular music and videos being showcased on huge video screens on the facade.""","Shopping Malls, Shopping"
310,Kampong Kapor Methodist Church,4,4,"1 Kampong Kapor Rd,, Singapore, Singapore",60,16,"(1.306975, 103.8539657)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
311,Church of St. Alphonsus,5,3,"300 Thomson Road, Singapore 307653, Singapore",60,15,"(1.321876, 103.843305)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
312,Old Malay and Muslim Cemeteries,3,5,"Main Road of Victoria Street, Singapore, Singapore",90,15,"(1.2974019, 103.8525602)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Cemeteries, Sights & Landmarks"
313,Masjid Angullia,3,5,"265 Serangoon Road | Little India, Singapore, Singapore",90,15,"(1.310384, 103.8542779)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
314,Thong Chai Medical Institution,3.5,4,"50 Eu Tong Sen Street Thong Chai Medical Institution, Singapore 059803, Singapore",90,14,"(1.2874532, 103.8455154)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Architectural Buildings, Historic Sites, Sights & Landmarks"
315,Hong Lim Park,3.5,4,"43 North Canal Road, Singapore 059299, Singapore",60,14,"(1.2871135, 103.8467815)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
316,West Coast Plaza,4.5,3,"154 West Coast Rd, Singapore 127371, Singapore",90,13.5,"(1.3036443, 103.7662434)",Reviews Summary not available.,"(0, 0)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)",Singapore,Information not available.,"Shopping Malls, Shopping"
317,Sri Krishna Mandir,4,3,"9 Lor 29 Geylang, Singapore 388065, Singapore",60,12,"(1.3145542, 103.885675)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
318,Singapore Polo Club,4,3,"80 Mount Pleasant Road Singapore Polo Club, Singapore 298334, Singapore",90,12,"(1.3326394, 103.8362209)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sports Complexes, Fun & Games"
319,Nyee Phoe Flower Garden,4,3,"240 Neo Tiew Crescent, Singapore 718898, Singapore",90,12,"(1.44083, 103.728914)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Revel in the rustic natural landscape of Sungei Buloh at this tranquil flower graden. Nyee Phoe has an extensive nursery with all kinds of plants, flowers, pots and other gardening material available for sale, to help you create your own lush garden.",Features Animals
320,College of Medicine Building,3,4,"16 College Road, Singapore 169854, Singapore",90,12,"(1.280445, 103.8336721)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Presently the Ministry of Health, the College of Medicine was opened in 1926 to teach western medicine, largely through the endowments of wealthy local merchants. Its grand facade features twelve heavy fluted Doric columns with eleven enormous doors behind them. High up on the walls to the left and right of the colonnade are bas-reliefs that symbolise healing, while a sculptured Roman eagle surmounts the central doorway. In restoration work between 1985 and 1987, a grand staircase was added to the main lobby.","Architectural Buildings, Educational sites, Sights & Landmarks"
321,Peranakan Trail,3,4,"91 Joo Chiat Road, Singapore 427385, Singapore",90,12,"(1.3140875, 103.8990668)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Hiking Trails, Nature & Parks, Outdoor Activities"
322,Mesjid Temenggong Daeng Ibrahim,3.5,3,"Temenggong Road, Singapore, Singapore",90,10.5,"(1.2673134, 103.8229394)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Architectural Buildings, Sacred & Religious Sites, Sights & Landmarks"
323,Alsagoff Arab School,3.5,3,"111 Jalan Sultan Madrasah Alsagoff Al-Arabiah, Singapore 199006, Singapore",90,10.5,"(1.3034958, 103.8606541)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Architectural Buildings, Educational sites, Sights & Landmarks, More"
324,Pandan Reservoir,3.5,3,"Singapore 600408, Singapore",150,10.5,"(1.318285, 103.748563)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
325,Orchidville,3.5,3,"Mandai Agrotechnology Park 10 Lorong Lada Hitam, Singapore 778793, Singapore",90,10.5,"(1.4164697, 103.7976444)",Reviews Summary not available.,"(570, 1290)","(570, 1290)","(570, 1290)","(570, 1290)","(570, 1290)","(570, 1290)","(570, 1290)",Singapore,"Be amazed by the beauty of orchids. Filled with landscaped gardens and beautiful orchids, Orchidville can be found right next to the Singapore Zoological Gardens.",Features Animals
326,Ray Bay,5,2,"1 Sentosa, Singapore 099081, Singapore",90,10,"(1.321923, 103.916758)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
327,Anglers World Family Fun Park,5,2,"Hougang Park, Ponggol Road, Singapore, Singapore",90,10,"(1.3993617, 103.9047141)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
328,Church of Saint Joseph,5,2,"620 Upper Bukit Timah Road, Singapore 678116, Singapore",60,10,"(1.3673488, 103.7669148)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
329,Oh Chin Huat Hydroponic Farms,3,3,"14A Bah Soon Pah Road, Singapore 769970, Singapore",90,9,"(1.419649, 103.825857)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
330,Pagode de 7 etages,4.5,2,"1 Chinese Garden Rd, Singapore 619795, Singapore",60,9,"(1.336189, 103.73096)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Architectural Buildings, Sights & Landmarks, More"
331,ArtSpace Museum,4.5,2,"15 Marina Grove, Singapore 019598, Singapore",90,9,"(1.2787536, 103.8677872)",Reviews Summary not available.,"(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)","(660, 1140)",Singapore,Information not available.,"Speciality Museums, Museums"
332,Al-Amin Mosque,4.5,2,"50 Telok Blangah Way, Singapore 098801, Singapore 098801, Singapore",90,9,"(1.2753301, 103.8193592)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
